Column 1,Column 2,Column 3,Column 4
221,"Davion Mitchell, PG",Miami Heat,"$6,451,230"
222,"Saddiq Bey, SF",Washington Wizards,"$6,440,678"
223,"Jarace Walker, F",Indiana Pacers,"$6,362,520"
224,"Rob Dillingham, G",Minnesota Timberwolves,"$6,262,920"
225,"Dean Wade, PF",Cleveland Cavaliers,"$6,166,667"
226,"John Konchar, SG",Memphis Grizzlies,"$6,165,000"
227,"Ziaire Williams, F",Brooklyn Nets,"$6,133,005"
228,"Dyson Daniels, G",Atlanta Hawks,"$6,059,520"
229,"Precious Achiuwa, PF",New York Knicks,"$6,000,000"
230,"Malik Beasley, SG",Detroit Pistons,"$6,000,000"
RK,NAME,TEAM,SALARY
231,"Chris Duarte, SG",Chicago Bulls,"$5,893,768"
232,"Taylor Hendricks, F",Utah Jazz,"$5,848,680"
233,"Moses Moody, SG",Golden State Warriors,"$5,803,269"
234,"Zach Edey, C",Memphis Grizzlies,"$5,756,880"
235,"Corey Kispert, SF",Washington Wizards,"$5,705,888"
236,"Jeremy Sochan, F",San Antonio Spurs,"$5,570,040"
237,"Cason Wallace, G",Oklahoma City Thunder,"$5,555,880"
238,"Cody Williams, F",Utah Jazz,"$5,485,080"
239,"Alperen Sengun, C",Houston Rockets,"$5,424,654"
240,"Johnny Davis, G",Washington Wizards,"$5,291,160"
241,"Jett Howard, G",Orlando Magic,"$5,278,320"
242,"Haywood Highsmith, F",Miami Heat,"$5,200,000"
243,"Matas Buzelis, F",Chicago Bulls,"$5,195,520"
244,"Kris Dunn, G",LA Clippers,"$5,168,000"
245,"Dario Saric, PF",Denver Nuggets,"$5,168,000"
246,"Trey Murphy III, SG",New Orleans Pelicans,"$5,159,855"
247,"Ousmane Dieng, F",Oklahoma City Thunder,"$5,027,040"
248,"Dereck Lively II, C",Dallas Mavericks,"$5,014,560"
249,"Nick Richards, C",Phoenix Suns,"$5,000,000"
250,"Andre Drummond, C",Philadelphia 76ers,"$5,000,000"
RK,NAME,TEAM,SALARY
251,"Drew Eubanks, PF",LA Clippers,"$5,000,000"
252,"Nikola Topic, G",Oklahoma City Thunder,"$4,935,960"
253,"Tre Mann, PG",Charlotte Hornets,"$4,908,189"
254,"Jalen Williams, F",Oklahoma City Thunder,"$4,775,760"
255,"Gradey Dick, G",Toronto Raptors,"$4,763,760"
256,"Jalen McDaniels, F",Washington Wizards,"$4,741,800"
257,"Miles McBride, PG",New York Knicks,"$4,710,144"
258,"Devin Carter, G",Sacramento Kings,"$4,702,800"
259,"Nicolas Batum, PF",LA Clippers,"$4,668,000"
260,"Aaron Holiday, G",Houston Rockets,"$4,668,000"
RK,NAME,TEAM,SALARY
261,"Jalen Duren, C",Detroit Pistons,"$4,536,840"
262,"Jordan Hawkins, G",New Orleans Pelicans,"$4,525,680"
263,"Jalen Johnson, SF",Atlanta Hawks,"$4,510,905"
264,"Bub Carrington, G",Washington Wizards,"$4,454,880"
265,"Isaiah Jackson, SF",Indiana Pacers,"$4,435,381"
266,"Nickeil Alexander-Walker, SG",Minnesota Timberwolves,"$4,312,500"
267,"Ochai Agbaji, G",Toronto Raptors,"$4,310,280"
268,"Kobe Bufkin, G",Atlanta Hawks,"$4,299,000"
269,"Quentin Grimes, SG",Philadelphia 76ers,"$4,296,615"
270,"Kel'el Ware, C",Miami Heat,"$4,231,800"
RK,NAME,TEAM,SALARY
271,"Bones Hyland, PG",LA Clippers,"$4,158,439"
272,"Mark Williams, C",Charlotte Hornets,"$4,094,280"
273,"Keyonte George, G",Utah Jazz,"$4,084,200"
274,"Cam Thomas, SG",Brooklyn Nets,"$4,041,249"
275,"Jared McCain, G",Philadelphia 76ers,"$4,032,240"
276,"Jaden Springer, G",Utah Jazz,"$4,018,580"
277,"Dwight Powell, C",Dallas Mavericks,"$4,000,000"
278,"Day'Ron Sharpe, C",Brooklyn Nets,"$3,989,122"
279,"Santi Aldama, PF",Memphis Grizzlies,"$3,960,531"
280,"Amir Coffey, SG",LA Clippers,"$3,938,271"
281,"AJ Griffin, F",Houston Rockets,"$3,889,920"
282,"Jalen Hood-Schifino, G",Los Angeles Lakers,"$3,879,840"
283,"Kevin Love, PF",Miami Heat,"$3,850,000"
284,"Dalton Knecht, G",Los Angeles Lakers,"$3,819,120"
285,"Tari Eason, F",Houston Rockets,"$3,695,160"
286,"Jaime Jaquez Jr., G",Miami Heat,"$3,685,800"
287,"Tristan da Silva, F",Orlando Magic,"$3,628,440"
288,"Ja'Kobe Walter, G",Toronto Raptors,"$3,565,000"
289,"Brandin Podziemski, G",Golden State Warriors,"$3,519,960"
290,"Dalen Terry, F",Chicago Bulls,"$3,510,480"
RK,NAME,TEAM,SALARY
291,"Svi Mykhailiuk, SG",Utah Jazz,"$3,500,000"
292,"Cody Zeller, C",Houston Rockets,"$3,500,000"
293,"Cam Whitmore, F",Houston Rockets,"$3,379,080"
294,"Derrick Rose, PG",Memphis Grizzlies,"$3,356,271"
295,"Jake LaRavia, F",Sacramento Kings,"$3,352,680"
296,"Jaylon Tyson, F",Cleveland Cavaliers,"$3,326,160"
297,"Eric Gordon, SG",Philadelphia 76ers,"$3,303,771"
298,"Cory Joseph, PG",Orlando Magic,"$3,303,771"
299,"Russell Westbrook, PG",Denver Nuggets,"$3,303,771"
300,"Noah Clowney, F",Brooklyn Nets,"$3,244,080"
RK,NAME,TEAM,SALARY
301,"Malaki Branham, G",San Antonio Spurs,"$3,217,920"
302,"Yves Missi, C",New Orleans Pelicans,"$3,202,560"
303,"Dante Exum, G",Dallas Mavericks,"$3,150,000"
304,"Dariq Whitehead, F",Brooklyn Nets,"$3,114,240"
305,"Christian Braun, G",Denver Nuggets,"$3,089,640"
306,"Johnny Juzang, G",Utah Jazz,"$3,087,519"
307,"DaRon Holmes II, C",Denver Nuggets,"$3,065,640"
308,"Josh Richardson, SG",Miami Heat,"$3,051,153"
309,"Christian Wood, F",Los Angeles Lakers,"$3,036,040"
310,"Kyle Filipowski, F",Utah Jazz,"$3,000,000"
RK,NAME,TEAM,SALARY
311,"Julian Champagnie, F",San Antonio Spurs,"$3,000,000"
312,"Kris Murray, F",Portland Trail Blazers,"$2,990,040"
313,"Walker Kessler, C",Utah Jazz,"$2,965,920"
314,"Shake Milton, SG",Los Angeles Lakers,"$2,875,000"
315,"Olivier-Maxence Prosper, F",Dallas Mavericks,"$2,869,920"
316,"David Roddy, F",Philadelphia 76ers,"$2,847,240"
317,"Torrey Craig, SF",Boston Celtics,"$2,845,342"
